route,stop_distance_km,day_of_week,time_of_day,traffic_condition,weather,special_event,temperature_celsius,delay_minutes,arrival_status
Campus Loop,0.84,Saturday,13.1,High,Clear,None,32.8,14.7,Late
Campus Loop,2.49,Wednesday,18.3,Medium,Clear,None,26.1,6.6,Late
Grove Village Route,5.53,Sunday,18.5,High,Clear,None,29.2,21.2,Late
Grove Village Route,6.28,Tuesday,16.1,Medium,Clear,None,29.4,7.0,Late
Grove Village Route,5.47,Thursday,21.9,Medium,Clear,Sports Match,32.2,19.3,Late
Al Hamra Link,5.71,Sunday,11.7,Medium,Clear,None,36.5,6.4,Late
Grove Village Route,4.58,Friday,9.6,High,Dusty,None,39.4,17.4,Late
Campus Loop,1.18,Sunday,9.5,High,Clear,None,31.6,12.8,Late
Grove Village Route,2.34,Saturday,12.4,Medium,Clear,None,25.4,5.7,Late
Al Hamra Link,4.19,Tuesday,11.3,Medium,Dusty,None,30.3,13.3,Late
Grove Village Route,4.15,Thursday,12.1,Medium,Cloudy,None,26.4,6.9,Late
Al Hamra Link,8.68,Tuesday,12.6,High,Clear,None,28.9,13.5,Late
Al Hamra Link,5.74,Thursday,16.4,Medium,Cloudy,Sports Match,35.5,12.3,Late
RAK City Express,13.3,Tuesday,18.9,High,Dusty,None,32.4,21.5,Late
Al Hamra Link,7.29,Saturday,13.6,Medium,Cloudy,None,31.6,4.4,On-Time
Campus Loop,3.46,Sunday,15.4,Medium,Dusty,None,29.5,10.0,Late
Al Hamra Link,6.37,Friday,12.8,Medium,Clear,None,26.4,7.4,Late
Grove Village Route,6.48,Saturday,13.0,Low,Clear,None,35.0,2.8,On-Time
Al Hamra Link,8.71,Thursday,17.1,High,Clear,None,35.1,16.4,Late
Grove Village Route,4.72,Thursday,15.8,Low,Clear,None,30.2,1.2,On-Time
RAK City Express,14.48,Wednesday,7.8,Low,Clear,None,24.4,3.7,On-Time
Campus Loop,2.42,Sunday,10.1,Medium,Clear,None,31.0,4.1,On-Time
RAK City Express,6.64,Thursday,21.1,Medium,Clear,None,35.7,7.6,Late
Al Hamra Link,7.12,Monday,10.8,Medium,Clear,None,37.8,5.2,Late
Grove Village Route,3.98,Wednesday,14.2,Medium,Cloudy,Sports Match,31.0,15.1,Late
